file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,47,css,95620031,Su Love Wai,2025-10-17,12:49:53,-07:00,2025-10-17T12:49:53-07:00,1,69
style.css,48,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,0
style.css,49,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,0
style.css,50,css,95620031,Su Love Wai,2025-10-17,12:49:53,-07:00,2025-10-17T12:49:53-07:00,0,31
style.css,51,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,4
style.css,52,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,7
style.css,53,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,6
style.css,54,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,12
style.css,55,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,0
style.css,56,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,0
style.css,57,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,4
style.css,58,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,12
style.css,59,css,95620031,Su Love Wai,2025-10-17,12:49:53,-07:00,2025-10-17T12:49:53-07:00,1,30
style.css,60,css,95620031,Su Love Wai,2025-10-17,12:49:53,-07:00,2025-10-17T12:49:53-07:00,1,7
style.css,61,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,18
style.css,62,css,95620031,Su Love Wai,2025-10-17,12:49:53,-07:00,2025-10-17T12:49:53-07:00,1,14
style.css,63,css,95620031,Su Love Wai,2025-10-17,12:49:53,-07:00,2025-10-17T12:49:53-07:00,1,12
style.css,64,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,0
style.css,65,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,0
style.css,66,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,10
style.css,67,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,16
style.css,68,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,19
style.css,69,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,0
style.css,70,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,0
style.css,71,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,9
style.css,72,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,13
style.css,73,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,10
style.css,74,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,21
style.css,75,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,34
style.css,76,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,19
style.css,77,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,13
style.css,78,css,95620031,Su Love Wai,2025-10-17,12:49:53,-07:00,2025-10-17T12:49:53-07:00,1,23
style.css,79,css,95620031,Su Love Wai,2025-10-17,12:49:53,-07:00,2025-10-17T12:49:53-07:00,1,16
style.css,80,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,0
style.css,81,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,0
style.css,82,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,11
style.css,83,css,95620031,Su Love Wai,2025-10-17,12:49:53,-07:00,2025-10-17T12:49:53-07:00,1,18
style.css,84,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,18
style.css,85,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,36
style.css,86,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,11
style.css,87,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,11
style.css,88,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,19
style.css,89,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,19
style.css,90,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,14
style.css,91,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,15
style.css,92,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,0
style.css,93,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,0
style.css,94,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,17
style.css,95,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,58
style.css,96,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,0
style.css,97,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,0
style.css,98,css,95620031,Su Love Wai,2025-10-17,12:49:53,-07:00,2025-10-17T12:49:53-07:00,0,39
style.css,99,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,9
style.css,100,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,12
style.css,101,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,58
style.css,102,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,7
style.css,103,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,14
style.css,104,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,0
style.css,105,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,0
style.css,106,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,17
style.css,107,css,95620031,Su Love Wai,2025-10-17,12:49:53,-07:00,2025-10-17T12:49:53-07:00,1,40
style.css,108,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,19
style.css,109,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,1,11
style.css,110,css,95620031,Su Love Wai,2025-10-17,12:49:53,-07:00,2025-10-17T12:49:53-07:00,1,55
style.css,111,css,95620031,Su Love Wai,2025-10-17,12:49:53,-07:00,2025-10-17T12:49:53-07:00,1,52
style.css,112,css,95620031,Su Love Wai,2025-10-17,12:49:53,-07:00,2025-10-17T12:49:53-07:00,1,16
style.css,113,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,0
style.css,114,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,0
style.css,115,css,78052b0e,Su Love Wai,2025-10-10,21:08:48,-07:00,2025-10-10T21:08:48-07:00,0,23
style.css,116,css,95620031,Su Love Wai,2025-10-17,12:49:53,-07:00,2025-10-17T12:49:53-07:00,1,26
